time,angle
0.0,59.84
0.1,59.84
0.2,94.08
0.3,69.86
0.4,69.86
0.5,81.52
0.6,79.08
0.7,181.77
0.8,108.79
0.9,121.54
1.0,145.63
1.1,234.65
1.2,69.84
1.3,0.0
1.4,39.59
1.5,325.63
1.6,341.44
1.7,18.72
1.8,28.89
1.9,1.77
2.0,274.11
2.1,39.6
2.2,341.44
2.3,325.64
2.4,325.64
2.5,306.97
2.6,306.97
2.7,219.6
2.8,0.0
2.9,274.12
3.0,94.12
3.1,274.12
3.2,341.44
3.3,341.44
3.4,1.77
3.5,16.0
3.6,94.14
3.7,145.65
3.8,145.65
3.9,161.44
4.0,117.61
4.1,145.65
4.2,134.61
4.3,134.61
4.4,117.6
4.5,161.45
4.6,123.18
4.7,94.1
4.8,131.76
4.9,171.21
5.0,126.97
5.2,108.81
5.2,84.6
5.3,73.01
5.4,94.09
5.5,134.63
5.6,0.0
5.7,59.76
5.8,325.68
5.9,69.81
6.0,94.09
6.1,117.62
6.2,165.25
6.3,112.24
6.4,79.03
6.5,79.03
6.6,106.47
6.7,106.47
6.8,181.78
6.9,59.72
7.0,59.72
7.1,94.08
7.2,94.07
7.3,117.63
7.4,94.07
7.5,0.0
7.6,307.03
7.7,195.95
7.8,181.78
7.9,127.03
8.0,1.78
8.1,173.3
8.2,155.67
8.3,137.9
8.4,94.04
8.5,127.02
8.6,181.78
8.7,103.42
8.8,121.59
8.9,123.21
9.0,161.52
9.1,192.47
9.2,117.59
9.3,145.73
9.4,63.7
9.5,59.62
9.6,94.0
9.7,124.09
9.8,114.58
9.9,161.54
10.0,145.75
10.1,130.51
10.2,145.75
10.3,134.68
10.4,0.0
10.5,273.95
10.6,93.95
10.7,161.55
10.8,117.58
10.9,167.92
11.0,137.92
11.1,158.98
11.2,153.01
11.3,161.55
11.4,93.89
11.5,181.79
11.6,93.89
11.7,103.31
11.8,167.92
11.9,273.87
12.0,278.94
12.1,166.27
12.2,137.88
12.3,187.15
12.4,205.25
12.5,195.91
12.6,202.54
12.7,219.32
12.8,306.92
12.9,211.57
13.0,1.79
13.1,249.46
13.2,227.74
13.3,195.91
13.4,227.73
13.5,219.32
13.6,325.67
13.7,258.69
13.8,261.13
13.9,239.44
14.0,181.79
14.1,190.35
14.2,231.21
14.3,262.87
14.4,245.21
14.5,93.71
14.6,206.33
14.7,246.75
14.8,279.52
14.9,306.78
15.0,297.32
15.2,291.92
15.3,325.59
15.4,301.32
15.4,300.43
15.5,273.73
15.6,347.85
15.7,219.4
15.8,255.14
15.9,231.29
16.0,202.61
16.1,261.13
16.2,234.37
16.3,219.41
16.4,306.73
16.5,325.54
16.6,208.78
16.7,252.66
16.8,261.12
16.9,219.42
17.0,208.79
17.1,219.42
17.2,256.47
17.3,219.43
17.4,255.12
17.5,227.83
17.6,227.83
17.7,202.63
17.8,181.78
17.9,145.47
18.0,198.06
18.1,219.41
18.2,249.43
18.3,165.17
18.4,174.65
18.5,219.41
18.6,262.76
18.7,273.55
18.8,181.77
18.9,289.83
19.0,202.64
19.1,145.41
19.2,155.46
19.3,145.41
19.4,208.8
19.5,181.77
19.6,206.39
19.7,219.4
19.8,136.14
19.9,119.59
20.0,273.48
20.1,181.77
20.2,157.74
20.3,181.78
20.4,219.38
20.5,208.78
20.6,181.78
20.7,161.34
20.8,223.21
20.9,93.41
21.0,171.16
21.1,181.77
21.2,134.18
21.3,181.77
21.4,134.17
21.5,155.43
21.6,195.96
21.7,161.33
21.8,152.69
21.9,239.3
22.0,219.33
22.1,93.34
22.2,93.35
22.3,314.16
22.4,219.34
22.5,12.49
22.6,330.11
22.7,145.36
22.8,93.37
22.9,126.45
23.0,325.36
23.1,0.0
23.2,93.36
23.3,0.0
23.4,0.0
23.5,1.77
23.6,0.0
23.7,0.0
23.8,0.0
23.9,161.34
24.0,69.25
24.1,231.16
24.2,239.31
24.3,134.17
24.4,145.36
24.5,137.44
24.6,113.92
24.7,288.11
24.8,306.44
24.9,249.22
25.0,93.35
25.1,59.29
25.2,39.32
25.3,302.6
25.4,93.35
25.5,208.75
25.6,325.36
25.7,0.0
25.8,78.39
25.9,111.56
26.0,108.12
26.1,93.35
26.2,145.37
26.3,219.32
26.4,325.37
26.5,108.12
26.6,136.1
26.7,105.75
26.8,93.34
26.9,93.34
27.0,93.34
27.1,93.34
27.2,219.29
27.3,116.97
27.4,161.37
27.5,157.76
27.6,93.31
27.7,239.22
27.8,171.19
27.9,105.72
28.0,161.37
28.1,219.26
28.2,157.76
28.3,145.39
28.4,93.27
28.5,145.39
28.6,195.93
28.7,167.81
28.8,171.19
28.9,176.43
29.0,181.78
29.1,231.01
29.2,145.36
29.3,93.21
29.4,82.39
29.5,105.64
29.6,173.27
29.7,181.78
29.8,64.85
29.9,126.4
30.0,181.78
