time,angle
0.0,59.84
0.1,59.84
0.2,94.08
0.3,69.86
0.4,69.86
0.5,81.52
0.6,79.08
0.7,181.77
0.8,108.79
0.91,121.54
1.0,145.63
1.1,234.65
1.2,69.84
1.3,0.0
1.4,39.59
1.5,325.63
1.6,341.44
1.7,18.72
1.79,28.89
1.9,1.77
2.0,274.11
2.11,39.6
2.21,341.44
2.3,325.64
2.4,325.64
2.5,306.97
2.6,306.97
2.7,219.6
2.81,0.0
2.9,274.12
3.0,94.12
3.1,274.12
3.21,341.44
3.29,341.44
3.39,1.77
3.49,16.0
3.59,94.14
3.69,145.65
3.8,145.65
3.89,161.44
4.0,117.61
4.09,145.65
4.2,134.61
4.31,134.61
4.41,117.6
4.5,161.45
4.6,123.18
4.7,94.1
4.8,131.76
4.9,171.21
5.0,126.97
5.17,108.81
5.23,84.6
5.3,73.01
5.41,94.09
5.5,134.63
5.6,0.0
5.7,59.76
5.8,325.68
5.9,69.81
6.0,94.09
6.1,117.62
6.21,165.25
6.3,112.24
6.41,79.03
6.51,79.03
6.61,106.47
6.71,106.47
6.8,181.78
6.9,59.72
7.0,59.72
7.11,94.08
7.21,94.07
7.31,117.63
7.41,94.07
7.51,0.0
7.61,307.03
7.7,195.95
7.81,181.78
7.91,127.03
8.01,1.78
8.11,173.3
8.21,155.67
8.31,137.9
8.4,94.04
8.51,127.02
8.6,181.78
8.71,103.42
8.82,121.59
8.92,123.21
9.02,161.52
9.12,192.47
9.22,117.59
9.31,145.73
9.42,63.7
9.51,59.62
9.6,94.0
9.71,124.09
9.81,114.58
9.9,161.54
10.0,145.75
10.1,130.51
10.2,145.75
10.3,134.68
10.42,0.0
10.5,273.95
10.61,93.95
10.71,161.55
10.81,117.58
10.91,167.92
11.02,137.92
11.11,158.98
11.21,153.01
11.31,161.55
11.41,93.89
11.52,181.79
11.61,93.89
11.72,103.31
11.81,167.92
11.9,273.87
12.01,278.94
12.12,166.27
12.22,137.88
12.31,187.15
12.41,205.25
12.51,195.91
12.62,202.54
12.71,219.32
12.81,306.92
12.92,211.57
13.01,1.79
13.12,249.46
13.22,227.74
13.31,195.91
13.41,227.73
13.51,219.32
13.61,325.67
13.71,258.69
13.81,261.13
13.91,239.44
14.02,181.79
14.11,190.35
14.21,231.21
14.3,262.87
14.4,245.21
14.52,93.71
14.61,206.33
14.72,246.75
14.82,279.52
14.91,306.78
15.02,297.32
15.19,291.92
15.33,325.59
15.35,301.32
15.42,300.43
15.52,273.73
15.62,347.85
15.72,219.4
15.81,255.14
15.92,231.29
16.01,202.61
16.11,261.13
16.22,234.37
16.32,219.41
16.42,306.73
16.51,325.54
16.61,208.78
16.71,252.66
16.81,261.12
16.91,219.42
17.01,208.79
17.11,219.42
17.21,256.47
17.31,219.43
17.41,255.12
17.51,227.83
17.62,227.83
17.71,202.63
17.81,181.78
17.92,145.47
18.01,198.06
18.11,219.41
18.21,249.43
18.32,165.17
18.41,174.65
18.51,219.41
18.62,262.76
18.71,273.55
18.81,181.77
18.92,289.83
19.02,202.64
19.13,145.41
19.22,155.46
19.31,145.41
19.42,208.8
19.52,181.77
19.62,206.39
19.72,219.4
19.82,136.14
19.92,119.59
20.02,273.48
20.12,181.77
20.22,157.74
20.31,181.78
20.4,219.38
20.5,208.78
20.6,181.78
20.7,161.34
20.81,223.21
20.9,93.41
21.0,171.16
21.1,181.77
21.2,134.18
21.3,181.77
21.4,134.17
21.5,155.43
21.61,195.96
21.7,161.33
21.81,152.69
21.9,239.3
22.0,219.33
22.12,93.34
22.21,93.35
22.31,314.16
22.4,219.34
22.5,12.49
22.61,330.11
22.7,145.36
22.8,93.37
22.9,126.45
23.02,325.36
23.1,0.0
23.2,93.36
23.29,0.0
23.39,0.0
23.49,1.77
23.59,0.0
23.69,0.0
23.79,0.0
23.89,161.34
23.99,69.25
24.09,231.16
24.19,239.31
24.3,134.17
24.4,145.36
24.5,137.44
24.59,113.92
24.69,288.11
24.8,306.44
24.9,249.22
24.99,93.35
25.11,59.29
25.22,39.32
25.3,302.6
25.41,93.35
25.52,208.75
25.61,325.36
25.71,0.0
25.81,78.39
25.9,111.56
26.0,108.12
26.1,93.35
26.2,145.37
26.3,219.32
26.4,325.37
26.52,108.12
26.61,136.1
26.72,105.75
26.82,93.34
26.91,93.34
27.0,93.34
27.1,93.34
27.2,219.29
27.3,116.97
27.41,161.37
27.51,157.76
27.6,93.31
27.71,239.22
27.81,171.19
27.9,105.72
28.01,161.37
28.11,219.26
28.21,157.76
28.31,145.39
28.41,93.27
28.51,145.39
28.62,195.93
28.71,167.81
28.81,171.19
28.91,176.43
29.01,181.78
29.11,231.01
29.21,145.36
29.33,93.21
29.4,82.39
29.5,105.64
29.6,173.27
29.7,181.78
29.8,64.85
29.9,126.4
30.0,181.78
